Text,Datatype,token_count
"The best NFT project by far is DEDPRZ. The utility is unmatched in the space.
Each NFT will be paying owners 100k per month once fully ramped. Mark my words.",Neutral sentiment,43
"You wanna know why I'm pushing Revux so hard? Because it's not just about making money. It's about securing generational wealth, you MF!",Question,33
"That was a live child trafficking transaction, using their code words=3",Negative,15
"mined bitcoin back in 2012ish or 2013 with an old PC. I dont know if I ever made any whole coins it was only for a few months as me and my little brother were just playing around and it was more about setting things up, did the same with Litecoin when it came out. Somewhere there is a wallet with an undetermined amount of money on it with my name on it.  Wish I had a way to find out how much was there so I could decide if I am depressed or not about it.",Question,112
"Wouldnt the stock market be the greatest, and crypto be a runner up.",Question,19
"THANK YOU ---- again VLADIMIRCORP.COM has saved more life than anyone of us here can imagine , their mining program is just what the new millennial needs to jump start their life",Noise,41
"As SOL is rising, just so $HOTDOGE is rising too
            CA- 7bdPWWy7qbVZgjzR5fr5dQK3nohZ96HB5Ey8Jyaypump",Negative,54
"So you want me to stay with paper money thats backed by nothing and loses loses its value every minute, laughable.",Negative,27
Great video. Totally agree that this may be a scam. But just in case I invested in MATIC and ETH.,Negative,25
"*I have no problem with my current nvestment company, its the best choice I ever made hands down*",Negative,24
"=nice content


Maybe much more elaborate examples and use cases will help to make it clearer to the barest.....",Neutral sentiment,25
"0H @57845=B A0<K9 :@CB>9 2 <8@5!!!
G5=L 256;82 A ;N4L<8=


 >AA8O 5;8:0O (  !!!",Noise,69
"You contend there is no way, but why? Are you familiar with the INFTY3 Token? This is going to rise to new heights.",Question,31
"If bozo the clown made so much money on btc, why is it working?",Question,18
I am safe investor but believe in tech.. back then one of my friend asked me to invest and hold btc.. I remember I had spare cash I sold on piece of land it was around 17k usd... and one btc was around 500 usd... that night we out for a dinner all of my friends laughed alot and all of us holding masters in business economics and investment management... now whenever I see btc that same advice echoed in my ears,Neutral sentiment,93
No one is going to spend btc on a daily basis for life essentials. Keep it real,Positive,19
Thanks for introducing me to XAI43K$. Your calls are the reason Im here. All in now!,Neutral sentiment,25
Sorry hes wrong. XRP went over $2.75. With Ripples interview on 60 mins this Sunday 8th the price is going to go up.,Negative,38
But how come the market cap of $2 Shiba Inu is only at 11 Billion.,Question,21
"XRP, THE STANDARD.  My guy def holds meme coins that are headed to zero",Neutral sentiment,19
Why do people care so much about characters Matt furie created. Just bc he created Pepe?  = . All just cash grab,Question,29
I just came to dislike it because I saw Cracked and this was the next suggestion tbh,Noise,20
How many XRPs are in escrow with ripple? If this is unknown then this is just like the federal government money printing machines .,Question,30
I've dumped all of my SOL 00:35- its toast for now. All converted to Winp Token and king BTC.,Neutral sentiment,28
Hes what ya call a you know what >#>#>#># a word I wont say,Noise,23
How to invest in crypto step by step tutorial should be ur next topic,Question,15
bruuuuh this guy is going to regret this for ever bro i swear JAJAJAJAJAJ I ALL READY FEEL BAD FOR HIM,Noise,31
XrP CMON IT'LL LEAVE HIM SPEECHLESS SOON WHEN IT EXPLODES,Noise,22
"I still don't have the first clue as to what ""mining"" means in the context of imaginary currency.",Question,24
"my prof told my class to buy bitcoin back when its was 10 usd,sadly no one listen to what his said",Negative,27
I hold xrp lol and dont even stake on exchanges why would i trust a bank,Question,18
¨¾ÍÁ² Í¿ÍÇ µ´¿¯¿²Í²È ¨¾©Í ¤Í¤Í¤ÈªÍ ª±Í±¿ ªÍ¾¯¤Í¤Á ªË¯¿ÍÁ °ÁÍ¾©Í µÇ± ²Æµ²Í ²Í² ¤²,Noise,96
"If you do the research, you can find the software tokens that will be around for this beast system. When I first downloaded Coinbase, I didn't know anything. I did the, ""learn to earn ' program and make $9, I lost $3 and prayed about where to put the $6. I looked at my coin list and saw Chainlink at 6.66% down, i can't remember the exact price but it was around $1.50 or something. I had pretty much forgotten about it until I heard something about crypto. I looked at my Coinbase app and my $6 was over $30! That's when I began to study. =
",Neutral sentiment,137
He is KGB man... You can't find and judge the physics of his moves. He is capable of screw the  journo brain than she with her beauty.,Negative,35
"CRYPTO IS NOTHING BUT A PONZI SCHEME. Why do you think Biden just talked about a proposal to have the IRS come after any bank account with more than $600 in it? They want to slowly move the regular banking system into crypto.
There's nothing Anarchy-like , grassroots, or rebellious about this crypto movement. IT'S ALL PLANNED. Don't fall for it.",Negative,83
very interesting the very banks that told you to stay away from BTC & XRP are now going to be using BTC & XRP.,Neutral sentiment,28
"Governments and big banks freezing your funds, spying on you, enslaving you, and being control freaks is the real scam. If people had normal rights, the demand for crypto wouldn't exist. All the criticisms apply to all other economic activity as well. And then having your own commercial in the vid is truly ""wow"" tier.",Negative,70
Me who made good amount of profits and still watching.. don't know why >#>#,Noise,19
You obviously make them boxes up your self for views and likes dude get a grip,Positive,17
"Bitcoin is not going anywhere but UP, now that Trump is back..  That 500,000-1,000,000 sound about right..",Negative,31
When u invested in bitcoin but its going down so u go to tv n tell everyone to buy it so u profit and then exit. Typical losers,Negative,30
I dont know who your shipper is but when I order people on there they always arrive in a timely manner. Hahah,Neutral sentiment,29
Congrats on nearly 1.5m subs James. I've been with you since 50k or so! Content keeps getting better.,Neutral sentiment,30
Theoretically why would you buy iPhones from the dark web,Question,13
"Sei ath =.99
Sui ath=3.9 for now sui is very near to ath.but i dont know for whats up how sei is the  working.",Question,37
Web3Infinity Token is not just another project  it's a movement that's changing the way we think about investments. The team's commitment to transparency and community engagement is commendable. Join the presale and become part of this powerful movement!,Neutral sentiment,51
Ha Ha Ha Trump met Garlinghouse and you say no bank==== so why they met you silliiyyy idddiiiooooott==,Noise,40
"I'm really here to figure out how a digital currency ( *That has no real world value, and is just and only digital* ) is worth so much, and even if its legitimate currency.",Neutral sentiment,41
