comment_id,comment,is_gibberish,has_link,translated_comment,detected_language,is_english,Level 1 ,Level 2 ,Level 3
video_253442,You gonna tell me I have to wait 4 years,Unlikely,Does not contain link,,English,English,0,,
video_40164,"His dedication, enthusiasm and insight show in his work.  I appreciate his help to recover my money that I had lost in a scam.  You kept in close contact and gave me very effective instructions.  Keep doing great work like this.
 *Clockluis.8*",Unlikely,Does not contain link,,English,English,0,,
video_162426,"It a great video not only because of the speakers but specially of your energy and enthusiasm, patience and energy!",Unlikely,Does not contain link,,English,English,0,,
video_86566,"Namaskar doston is missing here
""Hit like who notices this=""",Unlikely,Does not contain link,,English,English,0,,
video_94822,Lol lol lol Jerry. U wer wrong. Xrp is pumping. ====,Unlikely,Does not contain link,,English,English,0,,
video_109201,He said buying and holding wont make u rich =========================wtf =======hhhhaaaaaa lol ======. Who u work for,Likely,Does not contain link,,English,English,0,,
video_159219,It's interesting when people become rich they get there hairs back =,Unlikely,Does not contain link,,English,English,0,,
video_216032,"Ich kann das alles nicht mehr, wann hören die Leute auf Scheiße zu sein xD",Unlikely,Does not contain link,"I can no longer do all of this, when do people hear on shit xD",German,Not English,0,,
video_87157,in k lia dunya eu us and aus nd japan hy bs baki to koi dunya hy hi ni =,Unlikely,Does not contain link,I don't know how to do it.,Swahili,Not English,0,,
video_70072,Ball of fire that kills everyone and the joke about the second base lol,Unlikely,Does not contain link,,English,English,0,,
video_242909,The music - I thought a ghost will come out of it,Unlikely,Does not contain link,,English,English,0,,
video_104232,Girl blue drassa 2 milyar usd beside Putin in bank Rusia mbca=,Unlikely,Does not contain link,Girl Blue Drassa 2 Billion USD Beside Putin in Bank Russia MBCA =,Turkish,Not English,0,,
video_244333,dobrze ci tak! TYLKO zboczeDcy i zBodzieje z tego korzystaj!,Unlikely,Does not contain link,You are fine! Only the perverts and the Congresses use it!,Polish,Not English,0,,
video_78058,THANK YOU GUYS AAP LOGON KE SUPPORT SE AAJ MERE 100 SUBSCRIBER COMPLETE HUYE,Unlikely,Does not contain link,,English,English,0,,
video_162015,Great job Jordan! Awesome to see hard work and tenacity pay off!,Unlikely,Does not contain link,,English,English,0,,
video_109845,Your hat is ugly and I dont respect the beard.,Unlikely,Does not contain link,,English,English,0,,
video_116006,Shibu inu kab itna tha ganja maar ke video bana diye ho,Unlikely,Does not contain link,,English,English,0,,
video_191686,His voice doesnt seems to be real bro. Seems like voice came from tech world. ==-,Unlikely,Does not contain link,,English,English,0,,
video_70572,200k XAI25A$ and counting. Everyone else just gonna FOMO later lol =%,Unlikely,Does not contain link,,English,English,0,,
video_239524,Sala Ben chof entry or liqud ka deyan rakhe edit koro  entry 59.....liquid 69,Likely,Does not contain link,Sala Ben Chof Entry or LIQUD Ka Deyan Rakhe Edit Koro Entry 59 ..... Liquid 69,French,Not English,0,,
video_216717,"clas bisnis bakal mati kalo guru nya ga punya bisnis ,",Unlikely,Does not contain link,"Business clas will die if the teacher doesn't have a business,",Tagalog,Not English,0,,
video_106061,Give her to me I'll tell her to go out the back door and after that you came the way you came in. Have a nice day,Unlikely,Does not contain link,,English,English,0,,
video_8637,Amazing how stupid you guys are thinking this is real ====,Unlikely,Does not contain link,,English,English,0,,
video_498,"Pudgy penguin is new doge, 20-100x======'='='='='=' check it out u stil early!!!",Unlikely,Does not contain link,,English,English,0,,
video_217621,"Kan yg dicairkan harga pas belinya.. Mw fluktuatif bgmn pun, yg dicairkan pas transaksinya..
Klo tdk mw tergerus, koin transaksinya dikasih pilihan. Langsung dikonversi ke stable koin, atau dihold sja dgn resiko fluktuatif..",Unlikely,Does not contain link,"The price is disbursed when buying it ... even volatile, which is disbursed when the transaction ...
If you don't get eroded, the transaction coin is given a choice. Directly converted to stable coins, or diped SJA at the risk of fluctuating ..",Indonesian,Not English,0,,
video_209623,I looked more healthy than him when I was about 6 years deep into an 8yr long heroine abuse cycle of my life. I've never had eyes like his. Skin so pale.,Unlikely,Does not contain link,,English,English,0,,
video_125667,"For XAI25W, Be greedy when others are fearful - Warren Buffet",Unlikely,Does not contain link,,English,English,0,,
video_99940,"pues es hombre, a ver que se te ponga esa guera en frente y cualquiera se pone nervioso, lo mas bonito es que se ve que es un humano con las mismas sensaciones miedos etc... como un niño mira que bonito... a mi me cae bien ...  esa cara de pollito de alguien con tanto poder me mata!",Unlikely,Does not contain link,"Well, he is a man, to see that you get that ghetra in front and anyone becomes nervous, the most beautiful thing is that it is seen that he is a human with the same feelings fears etc ... as a child looks how beautiful ... I like it ... that face of someone's chick with so much power kills me!",Spanish,Not English,0,,
